"","#features","#attributes","#binary constraints","#edges in BIG","#edges in Mutex graph","#mandatory relations","#mutex groups","#or groups","#xor groups","#implies","#excludes","#complex constraints","#cross tree constraints","#variables","#configurations","#distinct configurations","max domain size","real max domain size","enable or groups","Synthesis","Domain extraction","Feature and attribute extraction","Binary implications","Sicstus","Implication and Mutex graph","Hierarchy","Place attributes","Mandatory features","Feature groups","Mutex","Or","Xor","Group processing","Cross tree constraints","Binary implies","Binary excludes","Complex constraints","AFM construction","#output configurations","product generation stopped"
"1",1,5,255,0,0,0,0,0,0,0,0,0,0,5,1000,989,10,10,"true",1135,16,5,904,617,7,13,3,0,111,4,101,1,4,74,2,2,70,1,NA,NA
"2",1,5,255,0,0,0,0,0,0,0,0,0,0,5,1000,991,10,10,"true",1127,17,4,894,610,7,13,3,0,112,4,102,1,3,75,2,2,71,1,NA,NA
"3",1,5,255,0,0,0,0,0,0,0,0,0,0,5,1000,992,10,10,"true",1133,17,4,899,612,7,13,2,1,113,4,103,1,3,76,2,2,72,1,NA,NA
"4",1,5,255,0,0,0,0,0,0,0,0,0,0,5,1000,993,10,10,"true",1135,17,4,900,615,7,14,2,0,115,4,105,1,4,74,2,2,70,1,NA,NA
"5",1,5,255,0,0,0,0,0,0,0,0,0,0,5,1000,996,10,10,"true",1121,16,5,887,601,7,13,3,0,111,4,102,0,4,77,3,1,73,1,NA,NA
"6",1,5,255,0,0,0,0,0,0,0,0,0,0,5,1000,996,10,10,"true",1125,16,4,889,603,7,13,2,0,115,4,105,1,3,76,2,2,72,1,NA,NA
"7",1,5,255,0,0,0,0,0,0,0,0,0,0,5,1000,996,10,10,"true",1619,22,4,1144,807,14,30,2,1,139,4,129,1,3,74,2,2,70,1,NA,NA
"8",1,5,255,0,0,0,0,0,0,0,0,0,0,5,1000,997,10,10,"true",1116,17,4,892,609,7,14,2,0,104,4,95,0,4,75,3,1,71,1,NA,NA
"9",1,5,255,0,0,0,0,0,0,0,0,0,0,5,1000,997,10,10,"true",1129,17,4,898,613,8,13,2,1,112,4,102,1,3,74,2,2,70,0,NA,NA
"10",1,5,255,0,0,0,0,0,0,0,0,4,4,5,100,100,10,10,"false",842,7,5,694,527,9,20,2,1,10,4,0,1,4,93,2,2,89,1,NA,NA
"11",1,5,255,0,0,0,0,0,0,0,0,7,7,5,100,100,10,10,"false",827,7,5,682,516,8,20,2,1,10,4,0,1,3,91,2,2,87,1,NA,NA
"12",1,10,510,0,0,0,0,0,0,0,0,0,0,10,10000,9992,5,5,"false",4779,56,5,4546,3877,17,30,3,0,10,4,0,1,3,108,2,2,104,1,NA,NA
"13",1,10,10010,0,0,0,0,0,0,0,0,0,0,10,10000,10000,100,100,"false",13031,102,5,11478,9528,16,15,8,0,10,4,1,0,4,1393,3,1,1389,1,NA,NA
"14",1,10,50010,0,0,0,0,0,0,0,0,0,0,10,10000,10000,500,500,"false",139872,106,6,116496,90567,23,14,15,1,10,4,0,1,4,23192,2,2,23188,1,NA,NA
"15",2,4,174,1,0,0,0,0,0,0,0,0,0,5,100,99,10,10,"false",789,6,4,659,515,10,13,3,1,17,11,1,0,4,74,2,2,70,0,20000,"false"
"16",2,4,174,1,0,0,0,0,0,0,0,0,0,5,1000,968,10,10,"true",1090,15,5,862,599,10,13,3,0,120,4,111,0,4,61,2,1,57,1,20000,"false"
"17",2,4,174,1,0,0,0,0,0,0,0,0,0,5,1000,970,10,10,"true",1090,15,4,861,598,9,13,3,0,121,4,112,0,4,62,3,1,58,1,20000,"false"
"18",2,4,174,1,0,0,0,0,0,0,0,0,0,5,1000,970,10,10,"true",1098,16,4,868,605,9,13,2,1,121,4,112,0,4,63,3,1,59,1,20000,"false"
"19",2,4,174,1,0,0,0,0,0,0,0,0,0,5,1000,971,10,10,"true",1093,15,5,866,600,9,13,3,0,119,4,109,1,4,61,2,2,57,0,20000,"false"
"20",2,4,174,1,0,0,0,0,0,0,0,0,0,5,1000,971,10,10,"true",1104,15,5,874,605,9,12,3,1,121,4,112,0,4,61,3,1,57,1,20000,"false"
"21",2,4,174,1,0,0,0,0,0,0,0,0,0,5,1000,973,10,10,"true",1086,15,4,856,588,9,13,3,1,122,4,113,0,4,61,3,1,57,1,20000,"false"
"22",2,4,174,1,0,0,0,0,0,0,0,0,0,5,1000,974,10,10,"true",1086,15,5,861,599,10,13,3,0,119,4,109,1,4,58,2,2,54,1,20000,"false"
"23",2,4,174,1,0,0,0,0,0,0,0,0,0,5,1000,974,10,10,"true",1095,15,4,868,600,9,13,3,1,121,4,111,1,3,59,2,2,55,1,20000,"false"
"24",2,4,174,1,0,0,0,0,0,0,0,0,0,5,1000,976,10,10,"true",1454,23,5,1142,825,24,37,3,0,149,4,139,1,4,60,2,2,56,1,20000,"false"
"25",2,4,174,1,0,0,0,0,0,0,0,0,0,5,1000,976,10,10,"true",1509,24,4,1127,804,22,29,3,0,146,4,137,1,3,61,2,1,58,1,NA,NA
"26",2,4,174,1,0,0,0,0,0,0,0,0,0,5,1000,977,10,10,"true",1104,16,4,875,613,9,13,3,0,120,4,111,0,4,61,2,2,57,1,20000,"false"
"27",2,4,174,1,0,0,0,0,0,0,0,0,0,5,1000,977,10,10,"true",1104,16,4,876,612,9,13,3,1,119,3,111,0,4,62,3,1,58,1,20000,"false"
"28",2,4,174,1,0,0,0,0,0,0,0,0,0,5,1000,977,10,10,"true",1512,22,4,1209,889,16,47,3,1,138,4,129,0,4,61,3,1,57,1,20000,"false"
"29",2,4,174,1,0,0,0,0,0,0,0,0,0,5,1000,978,10,10,"true",1099,15,5,868,605,10,13,3,0,123,4,114,0,4,61,3,1,57,1,20000,"false"
"30",2,4,174,1,0,0,0,0,0,0,0,0,0,5,1000,979,10,10,"true",1083,16,4,857,593,9,13,3,0,120,4,110,1,3,60,2,2,56,1,20000,"false"
"31",2,4,174,1,0,0,0,0,0,0,0,0,0,5,1000,979,10,10,"true",1451,24,5,1157,853,13,29,3,1,154,3,145,1,4,62,2,2,58,0,20000,"false"
