"","#features","#attributes","#binary constraints","#edges in BIG","#edges in Mutex graph","#mandatory relations","#mutex groups","#or groups","#xor groups","#implies","#excludes","#complex constraints","#cross tree constraints","#variables","#configurations","#distinct configurations","max domain size","real max domain size","enable or groups","Synthesis","Domain extraction","Feature and attribute extraction","Binary implications","Implication and Mutex graph","Hierarchy","Place attributes","Mandatory features","Feature groups","Mutex","Or","Xor","Group processing","Cross tree constraints","Binary implies","Binary excludes","Complex constraints","AFM construction"
"1",2,9,839,1,0,0,0,0,0,0,0,0,0,10,10000,10000,10,10,"false",877,105,5,597,9,13,3,1,9,4,0,1,3,131,3,1,127,1
"2",2,9,4079,1,0,0,0,0,0,0,0,26,26,10,10000,10000,50,50,"false",1632,103,6,921,14,13,5,1,10,4,0,1,4,556,2,2,552,1
"3",2,9,8129,1,0,0,0,0,0,0,0,0,0,10,10000,10000,100,100,"false",2929,100,5,1514,15,13,7,0,10,4,1,0,4,1263,3,1,1259,1
"4",2,9,16229,1,0,0,0,0,0,0,0,0,0,10,10000,10000,200,200,"false",5722,114,6,2208,17,14,10,0,10,5,0,1,3,3340,3,1,3336,1
"5",2,9,16229,1,0,0,0,0,0,0,0,0,0,10,10000,10000,200,200,"false",5839,109,6,2335,18,14,10,1,10,4,1,0,4,3330,2,2,3326,2
"6",2,9,163584,1,0,0,0,0,0,0,0,2,2,10,10000,10000,2000,1994,"false",385818,125,6,4404,42,14,32,1,10,4,0,1,4,381162,2,2,381158,2
"7",3,8,364,2,0,0,0,0,0,0,0,0,0,10,10000,9965,5,5,"false",908,63,5,722,9,13,3,1,10,4,0,1,3,79,2,2,75,1
"8",3,8,364,2,0,0,0,0,0,0,0,0,0,10,10000,9969,5,5,"false",890,64,5,541,9,171,3,1,10,4,0,1,3,84,2,2,80,1
"9",3,8,364,2,0,0,0,0,0,0,0,0,0,10,10000,9971,5,5,"false",2154,70,6,1867,37,29,3,1,10,4,0,1,3,82,2,2,78,1
"10",3,8,684,2,0,0,0,0,0,0,0,0,0,10,10000,10000,10,10,"false",842,100,6,582,9,14,3,1,10,4,0,1,4,115,2,2,111,1
"11",3,8,684,2,0,0,0,0,0,0,0,0,0,10,10000,10000,10,10,"false",850,102,6,588,9,13,4,0,10,4,1,0,4,116,3,1,112,1
"12",3,8,684,2,0,0,0,0,0,0,0,0,0,10,10000,10000,10,10,"false",855,109,5,589,10,14,3,1,10,4,0,1,4,113,2,2,109,1
"13",3,8,684,2,0,0,0,0,0,0,0,0,0,10,10000,10000,10,10,"false",1152,113,6,879,10,14,3,1,10,4,1,0,4,115,2,2,111,1
"14",3,8,1324,2,0,0,0,0,0,0,0,0,0,10,10000,10000,20,20,"false",982,98,5,679,10,14,4,0,10,4,1,0,4,161,2,2,157,1
"15",3,8,1324,2,0,0,0,0,0,0,0,0,0,10,10000,10000,20,20,"false",983,102,5,675,10,14,3,1,10,4,0,1,4,159,2,2,155,1
"16",3,8,1324,2,0,0,0,0,0,0,0,0,0,10,10000,10000,20,20,"false",989,102,5,678,10,13,4,1,9,4,0,1,3,164,3,1,160,0
"17",3,8,1324,2,0,0,0,0,0,0,0,0,0,10,10000,10000,20,20,"false",994,103,6,680,10,14,4,1,9,4,0,1,3,166,3,1,162,1
"18",3,8,1324,2,0,0,0,0,0,0,0,0,0,10,10000,10000,20,20,"false",996,103,6,683,10,14,4,1,9,4,0,1,3,164,3,1,160,1
"19",3,8,3244,2,0,0,0,0,0,0,0,19,19,10,10000,10000,50,50,"false",1476,106,6,860,12,14,5,0,11,4,1,0,3,459,2,2,455,2
"20",3,8,3244,2,0,0,0,0,0,0,0,21,21,10,10000,10000,50,50,"false",1481,105,5,867,12,14,5,0,10,4,1,0,4,461,3,1,457,1
"21",3,8,3244,2,0,0,0,0,0,0,0,23,23,10,10000,10000,50,50,"false",1506,115,6,884,12,14,5,0,11,5,0,1,3,456,2,2,452,2
"22",3,8,3244,2,0,0,0,0,0,0,0,27,27,10,10000,10000,50,50,"false",1488,115,5,866,13,14,5,0,11,5,0,1,3,458,2,2,454,1
"23",3,8,6444,2,0,0,0,0,0,0,0,0,0,10,10000,10000,100,100,"false",2541,110,6,1369,13,13,6,0,10,4,1,0,4,1010,3,1,1006,1
"24",3,8,6444,2,0,0,0,0,0,0,0,0,0,10,10000,10000,100,100,"false",2563,125,6,1371,14,13,6,1,10,4,0,1,3,1013,2,2,1009,2
