"","#features","#attributes","#binary constraints","#edges in BIG","#edges in Mutex graph","#mandatory relations","#mutex groups","#or groups","#xor groups","#implies","#excludes","#complex constraints","#cross tree constraints","#variables","#configurations","#distinct configurations","max domain size","real max domain size","enable or groups","Synthesis","Domain extraction","Feature and attribute extraction","Binary implications","Sicstus","alternative","Implication and Mutex graph","Hierarchy","Place attributes","Mandatory features","Feature groups","Mutex","Or","Xor","Group processing","Cross tree constraints","Binary implies","Binary excludes","Complex constraints","AFM construction"
"1",2,9,839,1,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1064,26,4,901,476,123,8,10,2,1,8,3,1,0,3,101,2,1,98,0
"2",3,8,684,2,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1008,25,5,858,452,113,8,11,3,0,9,4,0,1,3,87,2,1,84,1
"3",3,8,684,2,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1226,25,4,1072,642,113,14,13,3,0,8,4,0,0,3,86,2,1,83,1
"4",3,8,6444,2,0,0,0,0,0,0,0,0,0,10,10000,10000,100,100,"false",8012,102,4,7162,5227,572,10,10,4,1,8,3,0,1,3,708,2,1,705,1
"5",3,8,12844,2,0,0,0,0,0,0,0,0,0,10,10000,10000,200,200,"false",15614,99,4,13479,9156,1046,12,11,5,1,8,3,0,1,3,1991,2,1,1988,1
"6",4,7,545,3,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",947,23,5,810,427,104,8,11,3,0,8,4,0,0,3,77,3,1,73,1
"7",4,7,545,3,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",968,25,5,829,444,104,8,11,2,1,8,3,0,1,3,78,2,1,75,1
"8",4,7,545,3,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",979,24,5,840,452,108,8,10,3,0,8,4,0,0,3,79,2,1,76,1
"9",4,7,545,3,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1300,24,5,1162,777,104,8,11,2,1,8,3,1,0,3,78,2,1,75,1
"10",4,7,2505,3,0,0,0,0,0,0,0,23,23,10,10000,10000,50,50,"false",5164,82,4,4797,3661,405,9,10,3,1,8,3,0,1,2,250,2,1,247,0
"11",4,7,4955,3,0,0,0,0,0,0,0,0,0,10,10000,10000,100,100,"false",6848,91,5,6163,4419,518,10,11,4,0,8,3,1,0,3,555,2,1,552,1
"12",4,7,4955,3,0,0,0,0,0,0,0,0,0,10,10000,10000,100,100,"false",7585,96,4,6887,5144,663,10,11,3,1,8,3,1,0,3,564,2,1,561,1
"13",4,7,9855,3,0,0,0,0,0,0,0,0,0,10,10000,10000,200,200,"false",15223,86,4,13554,10327,611,12,11,5,1,8,3,0,1,3,1539,2,1,1536,1
"14",5,6,242,4,0,0,0,0,0,0,0,0,0,10,10000,9811,5,5,"false",3169,47,4,3022,2466,183,13,22,2,1,8,3,1,0,3,48,6,1,41,1
"15",5,6,242,4,0,0,0,0,0,0,0,0,0,10,10000,9831,5,5,"false",3109,48,4,2967,2411,185,9,18,3,0,8,4,0,0,3,50,6,1,43,1
"16",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",908,23,5,779,407,113,7,11,3,0,9,4,0,1,2,70,4,1,65,0
"17",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",910,24,5,782,413,112,8,11,3,0,8,4,0,0,3,69,5,1,63,0
"18",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",927,23,5,798,426,115,8,11,3,0,9,4,0,1,2,69,4,2,63,0
"19",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",937,23,4,810,445,107,8,11,2,1,8,3,1,0,3,68,5,1,62,1
"20",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",946,23,5,817,443,115,8,12,2,1,8,3,0,1,3,68,4,2,62,1
"21",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1121,23,5,989,598,111,8,16,2,1,8,3,1,0,3,67,5,2,60,1
"22",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1159,23,4,1019,646,106,9,25,2,1,8,3,1,0,3,67,5,2,60,1
"23",5,6,422,4,0,0,0,0,0,0,0,0,0,10,10000,9997,10,10,"false",2641,67,4,2469,1858,218,8,11,3,1,8,3,0,1,3,69,5,1,63,1
"24",5,6,7262,4,0,0,0,0,0,0,0,0,0,10,10000,10000,200,200,"false",12974,84,4,11701,8997,759,10,11,4,1,8,3,0,1,3,1148,4,1,1143,1
"25",5,6,36364,4,0,0,0,0,0,0,0,0,0,10,10000,10000,1000,1000,"false",153233,90,4,118864,85063,625,17,11,11,0,9,4,0,1,3,34223,4,2,34217,1
"26",5,6,36379,4,0,0,0,0,0,0,0,0,0,10,10000,10000,1000,1000,"false",147417,92,4,112949,81466,829,16,11,10,0,8,4,0,0,3,34321,5,1,34315,1
"27",5,6,36382,4,0,0,0,0,0,0,0,0,0,10,10000,10000,1000,1000,"false",159812,89,4,120879,88096,847,17,11,11,1,8,3,0,1,3,38787,4,1,38782,1
"28",6,5,315,5,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1099,19,4,969,598,106,12,22,2,1,8,3,1,0,3,61,6,1,54,1
"29",6,5,315,5,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1126,22,5,1008,664,107,8,12,2,1,8,3,1,0,3,59,6,1,52,0
"30",6,5,315,5,0,0,0,0,0,0,0,0,0,10,10000,9978,10,10,"false",2600,58,4,2445,1856,211,8,12,3,0,9,4,0,1,3,60,4,2,54,1
"31",6,5,315,5,0,0,0,0,0,0,0,0,0,10,10000,9983,10,10,"false",2499,60,4,2340,1750,205,8,11,3,0,9,4,0,1,3,62,5,1,56,1
"32",6,5,315,5,0,0,0,0,0,0,0,0,0,10,10000,9988,10,10,"false",2450,59,5,2291,1680,221,8,13,2,1,9,4,0,0,4,61,5,1,55,1
"33",6,5,565,5,0,0,0,0,0,0,0,0,0,10,10000,9998,20,20,"false",2781,66,4,2585,1851,279,8,12,3,0,9,4,0,1,3,93,5,1,87,1
"34",6,5,565,5,0,0,0,0,0,0,0,0,0,10,10000,9999,20,20,"false",2977,91,4,2762,2050,267,8,11,3,0,9,4,0,1,3,87,5,1,81,1
"35",6,5,1315,5,0,0,0,0,0,0,0,10,10,10,10000,10000,50,50,"false",3924,85,4,3612,2657,332,9,11,3,1,8,3,1,0,3,189,5,2,182,1
"36",6,5,2565,5,0,0,0,0,0,0,0,0,0,10,10000,10000,100,100,"false",5845,93,4,5384,4135,417,9,11,3,0,9,4,0,1,3,331,4,2,325,1
"37",6,5,5065,5,0,0,0,0,0,0,0,0,0,10,10000,10000,200,200,"false",9518,94,4,8372,6170,571,10,12,4,0,9,4,0,1,3,1012,4,2,1006,1
"38",6,5,12565,5,0,0,0,0,0,0,0,0,0,10,10000,10000,500,500,"false",29560,86,5,24741,18389,511,13,11,6,1,8,3,1,0,3,4686,5,1,4680,1
"39",7,4,144,6,0,0,0,0,0,0,0,0,0,10,10000,8898,5,5,"false",3217,46,4,3085,2523,203,18,22,2,1,8,4,0,0,3,30,2,2,26,0
