testname;#prods;startTime;EndTime;Time;equal
aircraft_fm;315;18:45:13:539;18:45:13:610;71;true
car_fm;13;18:45:15:014;18:45:15:017;3;true
cfdp_library_fm;319;18:45:16:368;18:45:16:465;97;true
connector_fm;18;18:45:17:757;18:45:17:760;3;true
fame_dbms_fm;320;18:45:19:185;18:45:19:200;15;true
model_20090801_1908323193;624;18:45:20:768;18:45:20:835;66;true
model_20091015_449909368;12;18:45:22:234;18:45:22:236;2;true
model_20091109_376438407;1612;18:45:23:578;18:45:23:687;109;true
model_20091129_1734444143;84;18:45:24:945;18:45:24:947;2;true
model_20091206_1647557456;135;18:45:26:173;18:45:26:176;3;true
model_20091210_241985787;3645;18:45:27:698;18:45:27:904;206;true
model_20091219_494647199;16;18:45:29:240;18:45:29:241;1;true
model_20100106_985255768;32;18:45:30:609;18:45:30:611;2;true
model_20100213_206550190;2520;18:45:32:439;18:45:33:279;840;true
model_20100216_713947806;8;18:45:35:003;18:45:35:004;1;true
model_20100308_1032655961;61;18:45:36:827;18:45:36:831;4;true
