testname;#prods;startTime;EndTime;Time;equal
model_20100927_1382418986;31;19:49:20:537;19:49:20:562;24;true
model_20101020_1809093990;2;19:49:21:917;19:49:21:918;1;true
model_20101104_260803083;32;19:49:23:392;19:49:23:399;7;true
model_20101109_1698100628;1512;19:49:24:965;19:49:25:248;283;true
model_20101110_1749898936;18;19:49:26:531;19:49:26:534;3;true
model_20101111_156018899;48;19:49:27:868;19:49:27:870;2;true
model_20101111_1790887308;48;19:49:29:080;19:49:29:081;1;true
model_20101117_1571856147;24;19:49:30:251;19:49:30:252;1;true
model_20101119_1472596180;7056;19:49:32:172;19:49:32:941;769;true
model_20101120_2091447559;4;19:49:34:308;19:49:34:309;1;true
model_20101123_920943759;44;19:49:35:638;19:49:35:641;2;true
model_20101124_661702924;60;19:49:37:034;19:49:37:038;4;true
model_20101208_1056693380;2;19:49:38:428;19:49:38:429;0;true
model_20110124_2116036381;70;19:49:39:940;19:49:39:941;1;true
model_20110127_1318390760;24;19:49:41:499;19:49:41:500;1;true
model_20110130_639381749;64;19:49:43:270;19:49:43:272;2;true
