FAMA-REAL-FM-18.xml , 44 , 5.568156E7 , 250
activation_section , analysis , 2.7864E7 , 296
activation_section , annotation_section , 1.11456E7 , 94
activation_section , cobol , 2.48832E7 , 234
activation_section , conditional_perform_graph , 1.24416E7 , 93
activation_section , copybook_page , 1.3932E7 , 234
activation_section , database , 2.7864E7 , 78
activation_section , db2 , 9288000.0 , 234
activation_section , delphi , 1.39968E7 , 94
activation_section , doc_gen , 2.7864E7 , 234
activation_section , dutch , 1.8576E7 , 78
activation_section , dynamic , 2.22912E7 , 234
activation_section , english , 1.8576E7 , 93
activation_section , entities_section , 1.3932E7 , 234
activation_section , ibm_cobol , 1.24416E7 , 78
activation_section , indexes , 1.3932E7 , 250
activation_section , interaction , 2.7864E7 , 78
activation_section , jcl , 1.86624E7 , 250
activation_section , jcl_graph , 9331200.0 , 78
activation_section , language_analysis , 2.7864E7 , 234
activation_section , localization , 2.7864E7 , 78
activation_section , main_pages , 2.7864E7 , 249
activation_section , microfocus_cobol , 1.24416E7 , 78
activation_section , mysql , 9288000.0 , 234
activation_section , oracle , 9288000.0 , 94
activation_section , overview_graph , 1.3932E7 , 218
activation_section , parameters_section , 1.3932E7 , 94
activation_section , perform_graph , 1.24416E7 , 249
activation_section , presentation , 2.7864E7 , 94
activation_section , program_page , 2.7864E7 , 234
activation_section , progress , 1.39968E7 , 78
activation_section , search_page , 1.11456E7 , 234
activation_section , source_difference , 9288000.0 , 78
activation_section , source_page , 1.3932E7 , 234
activation_section , sql , 1.39968E7 , 78
activation_section , static , 5572800.0 , 250
activation_section , statistics_page , 1.8576E7 , 78
activation_section , subsystem_graph , 1.11456E7 , 249
activation_section , subsystem_page , 1.11456E7 , 78
activation_section , subsystems , 2.22912E7 , 234
activation_section , version_mngt , 1.8576E7 , 94
activation_section , visualizations , 2.603664E7 , 234
activation_section , with_history , 9288000.0 , 93
activation_section , without_history , 9288000.0 , 234
analysis , annotation_section , 2.22912E7 , 78
analysis , cobol , 4.9724928E7 , 250
analysis , conditional_perform_graph , 2.4862464E7 , 94
analysis , copybook_page , 2.7864E7 , 249
analysis , database , 5.568156E7 , 94
analysis , db2 , 1.856052E7 , 234
analysis , delphi , 2.7970272E7 , 93
analysis , doc_gen , 5.568156E7 , 250
analysis , dutch , 3.712104E7 , 94
analysis , dynamic , 4.455918E7 , 249
analysis , english , 3.712104E7 , 94
analysis , entities_section , 2.7864E7 , 234
analysis , ibm_cobol , 2.4862464E7 , 93
analysis , indexes , 2.7864E7 , 266
analysis , interaction , 5.568156E7 , 93
analysis , jcl , 3.7293696E7 , 250
analysis , jcl_graph , 1.8646848E7 , 93
analysis , language_analysis , 5.568156E7 , 250
analysis , localization , 5.568156E7 , 94
analysis , main_pages , 5.568156E7 , 249
analysis , microfocus_cobol , 2.4862464E7 , 94
analysis , mysql , 1.856052E7 , 249
analysis , oracle , 1.856052E7 , 94
analysis , overview_graph , 2.784078E7 , 250
analysis , parameters_section , 2.7864E7 , 93
analysis , perform_graph , 2.4862464E7 , 234
analysis , presentation , 5.568156E7 , 94
analysis , program_page , 5.15484E7 , 249
analysis , progress , 2.7970272E7 , 78
analysis , search_page , 2.22912E7 , 297
analysis , source_difference , 1.8576E7 , 93
analysis , source_page , 2.7864E7 , 250
analysis , sql , 2.7970272E7 , 78
analysis , static , 1.112238E7 , 249
analysis , statistics_page , 3.7152E7 , 94
analysis , subsystem_graph , 2.227572E7 , 249
analysis , subsystem_page , 2.22912E7 , 94
analysis , subsystems , 4.455144E7 , 250
analysis , version_mngt , 3.712878E7 , 109
analysis , visualizations , 5.2030224E7 , 249
analysis , with_history , 1.8576E7 , 94
analysis , without_history , 1.8576E7 , 234
