FAMA-REAL-FM-20.xml , 44 , 80658.0 , 93
bundle_fcfs , bundle_lcfs , 0.0 , 281
bundle_fcfs , bundle_preemption , 17920.0 , 62
bundle_fcfs , bundle_schedule , 35840.0 , 234
bundle_fcfs , bundle_strategy , 35840.0 , 63
bundle_fcfs , bundle_strategy_replugging , 17920.0 , 234
bundle_fcfs , coroutine , 35840.0 , 62
bundle_fcfs , dispach_method , 35840.0 , 219
bundle_fcfs , dispatching , 35840.0 , 62
bundle_fcfs , float_set , 17920.0 , 281
bundle_fcfs , global_life , 35840.0 , 62
bundle_fcfs , idle_control , 26880.0 , 219
bundle_fcfs , idle_guard , 8960.0 , 62
bundle_fcfs , idle_panic , 8960.0 , 234
bundle_fcfs , idle_user , 8960.0 , 62
bundle_fcfs , integrated , 17920.0 , 219
bundle_fcfs , location , 35840.0 , 62
bundle_fcfs , minimal_set , 35840.0 , 219
bundle_fcfs , multiple , 35840.0 , 62
bundle_fcfs , non_preemptable_threads , 14336.0 , 234
bundle_fcfs , priority , 30720.0 , 62
bundle_fcfs , priority_16 , 10240.0 , 219
bundle_fcfs , priority_32 , 10240.0 , 62
bundle_fcfs , priority_8 , 10240.0 , 219
bundle_fcfs , priority_behaviour , 30720.0 , 62
bundle_fcfs , priority_cooperative , 15360.0 , 218
bundle_fcfs , priority_count , 30720.0 , 63
bundle_fcfs , priority_preemptive , 15360.0 , 218
bundle_fcfs , query_schedule , 17920.0 , 63
bundle_fcfs , schedule_same_priority , 15360.0 , 218
bundle_fcfs , scheduler_lockable , 14336.0 , 62
bundle_fcfs , scheduling , 35840.0 , 219
bundle_fcfs , separated , 17920.0 , 62
bundle_fcfs , single , 0.0 , 219
bundle_fcfs , size , 35840.0 , 78
bundle_fcfs , thread , 35840.0 , 202
bundle_fcfs , thread_fcfs , 2560.0 , 63
bundle_fcfs , thread_instance , 35840.0 , 234
bundle_fcfs , thread_lcfs , 2560.0 , 62
bundle_fcfs , thread_preemption , 28672.0 , 219
bundle_fcfs , thread_schedule , 35840.0 , 62
bundle_fcfs , thread_strategy , 35840.0 , 234
bundle_fcfs , thread_strategy_replugging , 17920.0 , 62
bundle_fcfs , volatile_set , 17920.0 , 219
bundle_lcfs , bundle_preemption , 17920.0 , 62
bundle_lcfs , bundle_schedule , 35840.0 , 219
bundle_lcfs , bundle_strategy , 35840.0 , 62
bundle_lcfs , bundle_strategy_replugging , 17920.0 , 218
bundle_lcfs , coroutine , 35840.0 , 78
bundle_lcfs , dispach_method , 35840.0 , 219
bundle_lcfs , dispatching , 35840.0 , 62
bundle_lcfs , float_set , 17920.0 , 234
bundle_lcfs , global_life , 35840.0 , 63
bundle_lcfs , idle_control , 26880.0 , 218
bundle_lcfs , idle_guard , 8960.0 , 62
bundle_lcfs , idle_panic , 8960.0 , 219
bundle_lcfs , idle_user , 8960.0 , 62
bundle_lcfs , integrated , 17920.0 , 219
bundle_lcfs , location , 35840.0 , 62
bundle_lcfs , minimal_set , 35840.0 , 218
bundle_lcfs , multiple , 35840.0 , 62
bundle_lcfs , non_preemptable_threads , 14336.0 , 203
bundle_lcfs , priority , 30720.0 , 63
bundle_lcfs , priority_16 , 10240.0 , 234
bundle_lcfs , priority_32 , 10240.0 , 62
bundle_lcfs , priority_8 , 10240.0 , 218
bundle_lcfs , priority_behaviour , 30720.0 , 78
bundle_lcfs , priority_cooperative , 15360.0 , 219
bundle_lcfs , priority_count , 30720.0 , 62
bundle_lcfs , priority_preemptive , 15360.0 , 219
bundle_lcfs , query_schedule , 17920.0 , 62
bundle_lcfs , schedule_same_priority , 15360.0 , 218
bundle_lcfs , scheduler_lockable , 14336.0 , 63
bundle_lcfs , scheduling , 35840.0 , 265
bundle_lcfs , separated , 17920.0 , 62
bundle_lcfs , single , 0.0 , 219
bundle_lcfs , size , 35840.0 , 62
bundle_lcfs , thread , 35840.0 , 219
bundle_lcfs , thread_fcfs , 2560.0 , 62
