FAMA-model_20100712_329430908.xml , 20 , 640.0 , 156
_r_1 , _r_2 , 640.0 , 406
_r_1 , _r_2_15 , 320.0 , 124
_r_1 , _r_2_16 , 320.0 , 422
_r_1 , _r_2_17 , 320.0 , 93
_r_1 , _r_2_18 , 640.0 , 390
_r_1 , _r_2_19 , 640.0 , 93
_r_1 , _r_3 , 640.0 , 531
_r_1 , _r_3_14 , 320.0 , 140
_r_1 , _r_4 , 640.0 , 375
_r_1 , _r_4_11 , 320.0 , 93
_r_1 , _r_4_12 , 320.0 , 406
_r_1 , _r_4_13 , 320.0 , 140
_r_1 , _r_5 , 640.0 , 375
_r_1 , _r_5_6 , 640.0 , 93
_r_1 , _r_5_7 , 640.0 , 406
_r_1 , _r_8 , 512.0 , 156
_r_1 , _r_8_10 , 256.0 , 374
_r_1 , _r_8_9 , 256.0 , 94
_r_1 , card product , 640.0 , 437
_r_2 , _r_2_15 , 320.0 , 109
_r_2 , _r_2_16 , 320.0 , 374
_r_2 , _r_2_17 , 320.0 , 94
_r_2 , _r_2_18 , 640.0 , 437
_r_2 , _r_2_19 , 640.0 , 93
_r_2 , _r_3 , 640.0 , 437
_r_2 , _r_3_14 , 320.0 , 94
_r_2 , _r_4 , 640.0 , 436
_r_2 , _r_4_11 , 320.0 , 94
_r_2 , _r_4_12 , 320.0 , 374
_r_2 , _r_4_13 , 320.0 , 94
_r_2 , _r_5 , 640.0 , 359
_r_2 , _r_5_6 , 640.0 , 171
_r_2 , _r_5_7 , 640.0 , 375
_r_2 , _r_8 , 512.0 , 109
_r_2 , _r_8_10 , 256.0 , 421
_r_2 , _r_8_9 , 256.0 , 125
_r_2 , card product , 640.0 , 374
_r_2_15 , _r_2_16 , 160.0 , 110
_r_2_15 , _r_2_17 , 160.0 , 405
_r_2_15 , _r_2_18 , 320.0 , 125
_r_2_15 , _r_2_19 , 320.0 , 390
_r_2_15 , _r_3 , 320.0 , 94
_r_2_15 , _r_3_14 , 160.0 , 405
_r_2_15 , _r_4 , 320.0 , 125
_r_2_15 , _r_4_11 , 160.0 , 390
_r_2_15 , _r_4_12 , 160.0 , 94
