General Pairwise Commonality Statistics
No, File, No.Features, No.Products, Total Elapsed Time
0,FAMA-aircraft_fm.pwc,13,315.0,10046
1,FAMA-arcade_game_pl_fm.pwc,61,2.3051013912E10,253964
2,FAMA-car_fm.pwc,9,13.0,3214
3,FAMA-cfdp_library_fm.pwc,13,319.0,6662
4,FAMA-connector_fm.pwc,20,18.0,16645
5,FAMA-DELL-LAPTOP-NOTEBOOK-FM.pwc,46,853.0,212475
6,FAMA-fame_dbms_fm.pwc,21,320.0,18344
7,FAMA-GPL.pwc,18,62.0,13400
8,FAMA-model_20091009_1552375070.pwc,37,1316772.0,59886
9,FAMA-model_20091015_449909368.pwc,10,12.0,4071
10,FAMA-model_20091129_1734444143.pwc,12,84.0,5756
11,FAMA-model_20091205_755658379.pwc,94,2.322432E7,1541444
12,FAMA-model_20091206_1647557456.pwc,10,135.0,1825
13,FAMA-model_20091210_241985787.pwc,16,3645.0,4789
14,FAMA-model_20091210_993249741.pwc,29,43008.0,16411
15,FAMA-model_20091219_494647199.pwc,11,16.0,2324
16,FAMA-model_20091225_1547989376.pwc,29,197376.0,17002
17,FAMA-model_20100106_985255768.pwc,20,32.0,7924
18,FAMA-model_20100213_206550190.pwc,38,4920.0,44570
19,FAMA-model_20100216_713947806.pwc,12,8.0,5709
20,FAMA-model_20100308_1032655961.pwc,15,61.0,9063
21,FAMA-model_20100308_1355834007.pwc,20,4800.0,18846
22,FAMA-model_20100321_1548012375.pwc,18,16384.0,17066
23,FAMA-model_20100322_955726153.pwc,20,162.0,27908
24,FAMA-model_20100324_1996898492.pwc,11,8.0,9984
25,FAMA-model_20100325_298677687.pwc,11,48.0,13698
26,FAMA-model_20100326_770562654.pwc,27,1152.0,86797
27,FAMA-model_20100412_337845737.pwc,10,1.0,11427
28,FAMA-model_20100415_240595643.pwc,31,319488.0,116332
29,FAMA-model_20100415_947132043.pwc,31,113724.0,121444
30,FAMA-model_20100416_811483774.pwc,16,28.0,29873
31,FAMA-model_20100529_1010171189.pwc,22,1152.0,56595
32,FAMA-model_20100607_746327867.pwc,20,448.0,47221
33,FAMA-model_20100624_2076952989.pwc,17,444.0,33962
34,FAMA-model_20100625_251719781.pwc,16,3150.0,29453
35,FAMA-model_20100712_329430908.pwc,20,640.0,47188
36,FAMA-model_20100719_944437142.pwc,29,17280.0,83352
37,FAMA-model_20100730_1366577700.pwc,32,3.3554432E7,66176
38,FAMA-model_20100805_1484639410.pwc,31,3712.0,62417
39,FAMA-movies_app_fm.pwc,13,24.0,10498
40,FAMA-REAL-FM-10.pwc,14,48.0,12370
41,FAMA-REAL-FM-11.pwc,67,6400.0,367768
42,FAMA-REAL-FM-12.pwc,14,126.0,11903
43,FAMA-REAL-FM-13.pwc,12,24.0,9048
44,FAMA-REAL-FM-14.pwc,18,396.0,20763
45,FAMA-REAL-FM-15.pwc,25,240.0,40546
46,FAMA-REAL-FM-16.pwc,26,22680.0,44101
47,FAMA-REAL-FM-17.pwc,25,1384.0,40295
48,FAMA-REAL-FM-18.pwc,44,5.568156E7,160444
49,FAMA-REAL-FM-19.pwc,30,312.0,60311
50,FAMA-REAL-FM-2.pwc,23,1056.0,34788
51,FAMA-REAL-FM-20.pwc,44,80658.0,135502
52,FAMA-REAL-FM-3.pwc,43,2120800.0,168352
53,FAMA-REAL-FM-5.pwc,20,132.0,23867
54,FAMA-REAL-FM-6.pwc,11,14.0,6006
55,FAMA-REAL-FM-7.pwc,14,80.0,8877
56,FAMA-REAL-FM-8.pwc,17,28.0,11716
57,FAMA-REAL-FM-9.pwc,14,68.0,7628
58,FAMA-smart_home_fm.pwc,35,1048576.0,43540
59,FAMA-stack_fm.pwc,17,432.0,10172
