No,Precision,Recall,F-Measure,Safety,Mandatory,Optional,XORs,ORs,Requires,Excludes,NLeaf,NTop,FoC,Deep
1,0.0,0.0,NaN,0.8461538461538461,4,2,1,0,2,0,5,3,0.2222222222222222,3
2,0.0,0.0,NaN,0.8348214285714286,2,1,1,0,1,1,6,2,0.1111111111111111,3
3,0.25,0.08333333333333333,0.125,0.9423076923076923,1,0,1,0,7,0,9,1,0.0,3
4,0.4,0.125,0.19047619047619047,0.9833333333333334,2,2,1,0,15,0,12,2,0.13333333333333333,3
5,0.5454545454545454,0.6,0.5714285714285713,0.9710743801652892,2,2,1,0,8,0,12,2,0.13333333333333333,3
6,0.5,0.11764705882352941,0.19047619047619047,0.9903846153846154,1,0,1,0,11,0,12,1,0.0,3
7,0.5,0.0625,0.1111111111111111,1.0,1,0,1,0,13,0,12,1,0.0,3
8,0.5,0.125,0.2,0.9903846153846154,1,0,1,0,9,0,12,1,0.0,3
9,0.5,0.038461538461538464,0.07142857142857144,1.0,1,0,1,0,14,0,12,1,0.0,3
10,0.0,0.0,NaN,0.9665668662674641,1,0,1,0,4,0,16,1,0.0,3
11,0.0,0.0,NaN,0.9610062893081769,2,3,1,0,14,0,20,2,0.13043478260869565,3
12,0.0,0.0,NaN,0.9708396178984415,2,1,1,0,10,1,22,2,0.04,3
13,0.5,0.03773584905660377,0.07017543859649122,0.9983221476510067,1,0,1,0,39,0,27,1,0.0,3
14,0.5,0.0625,0.1111111111111111,0.9982517482517482,1,0,1,0,34,0,27,1,0.0,3
15,0.5,0.021739130434782608,0.041666666666666664,1.0,1,0,1,0,36,0,27,1,0.0,3
17,0.5,0.05405405405405406,0.0975609756097561,0.9983221476510067,1,0,1,0,41,0,27,1,0.0,3
18,0.5,0.022222222222222223,0.0425531914893617,1.0,1,0,1,0,32,0,27,1,0.0,3
