No,Precision,Recall,F-Measure,Safety,Mandatory,Optional,XORs,ORs,Requires,Excludes,NLeaf,NTop,FoC,Deep
1,1.0,1.0,1.0,1.0,3,8,0,0,32,4,7,6,0.6666666666666666,5
2,1.0,1.0,1.0,1.0,2,9,0,0,34,0,6,4,0.75,6
3,1.0,1.0,1.0,1.0,2,9,0,0,44,0,8,5,0.75,4
4,1.0,1.0,1.0,1.0,2,9,0,0,29,1,8,6,0.75,3
5,1.0,1.0,1.0,1.0,2,7,0,1,26,5,6,2,0.5833333333333334,5
6,1.0,1.0,1.0,1.0,2,9,0,0,26,0,7,3,0.75,4
7,1.0,1.0,1.0,1.0,1,8,0,1,30,0,6,3,0.6666666666666666,4
8,1.0,1.0,1.0,1.0,2,9,0,0,27,0,6,4,0.75,4
9,1.0,1.0,1.0,1.0,1,8,0,1,20,7,6,3,0.6666666666666666,4
10,1.0,1.0,1.0,1.0,4,22,0,0,234,0,16,4,0.8148148148148148,6
11,1.0,1.0,1.0,1.0,5,21,0,0,233,5,14,3,0.7777777777777778,7
12,1.0,1.0,1.0,1.0,8,18,0,0,199,0,10,2,0.6666666666666666,7
13,1.0,1.0,1.0,1.0,2,24,0,0,230,0,15,5,0.8888888888888888,6
14,1.0,1.0,1.0,1.0,2,24,0,0,239,5,14,3,0.8888888888888888,5
15,1.0,1.0,1.0,1.0,1,25,0,0,247,4,14,3,0.9259259259259259,6
16,1.0,1.0,1.0,1.0,1,25,0,0,237,0,14,2,0.9259259259259259,7
17,1.0,1.0,1.0,1.0,2,24,0,0,224,5,11,3,0.8888888888888888,7
18,1.0,1.0,1.0,1.0,1,25,0,0,243,3,12,4,0.9259259259259259,7
19,1.0,1.0,1.0,1.0,4,47,0,0,1102,0,27,4,0.9038461538461539,8
20,1.0,1.0,1.0,1.0,9,42,0,0,945,0,25,3,0.8076923076923077,9
21,1.0,1.0,1.0,1.0,7,44,0,0,1031,1,23,4,0.8461538461538461,11
22,1.0,1.0,1.0,1.0,2,49,0,0,1071,0,25,6,0.9423076923076923,7
23,1.0,1.0,1.0,1.0,1,50,0,0,1103,2,27,3,0.9615384615384616,8
24,1.0,1.0,1.0,1.0,1,50,0,0,1109,0,25,6,0.9615384615384616,7
25,1.0,1.0,1.0,1.0,1,50,0,0,1078,0,29,3,0.9615384615384616,7
26,1.0,1.0,1.0,1.0,1,50,0,0,1101,0,27,7,0.9615384615384616,7
27,1.0,1.0,1.0,1.0,2,49,0,0,1033,0,26,4,0.9423076923076923,10
