No,Precision,Recall,F-Measure,Safety,Mandatory,Optional,XORs,ORs,Requires,Excludes,NLeaf,NTop,FoC,Deep
1,1.0,1.0,1.0,1.0,1,3,0,2,32,8,6,2,0.2727272727272727,4
2,1.0,1.0,1.0,1.0,1,1,0,3,38,0,6,1,0.09090909090909091,4
3,1.0,1.0,1.0,1.0,0,0,0,3,43,0,8,2,0.0,3
4,1.0,1.0,1.0,1.0,1,1,0,2,26,0,7,1,0.09090909090909091,4
5,1.0,1.0,1.0,1.0,1,2,0,2,25,6,6,1,0.18181818181818182,5
6,1.0,1.0,1.0,1.0,1,1,0,2,26,0,7,1,0.09090909090909091,4
7,1.0,1.0,1.0,1.0,0,2,0,2,30,2,7,2,0.18181818181818182,4
8,1.0,1.0,1.0,1.0,1,1,0,2,27,0,7,1,0.09090909090909091,4
9,1.0,1.0,1.0,1.0,0,1,0,3,19,14,7,3,0.09090909090909091,3
10,1.0,1.0,1.0,1.0,2,4,0,3,269,0,18,1,0.15384615384615385,4
11,1.0,1.0,1.0,1.0,2,2,0,3,257,8,20,1,0.07692307692307693,4
12,1.0,1.0,1.0,1.0,5,1,0,4,238,0,20,1,0.038461538461538464,5
13,1.0,1.0,1.0,1.0,1,2,0,5,245,0,18,1,0.07692307692307693,4
14,1.0,1.0,1.0,1.0,1,1,0,4,250,8,20,1,0.038461538461538464,5
15,0.9787234042553191,1.0,0.989247311827957,1.0,0,1,0,4,249,4,21,2,0.038461538461538464,4
16,1.0,1.0,1.0,1.0,0,3,0,4,251,0,19,2,0.11538461538461539,4
17,0.9736842105263158,1.0,0.9866666666666666,1.0,1,2,0,3,249,4,20,1,0.07692307692307693,4
18,1.0,1.0,1.0,1.0,0,3,0,3,254,6,20,2,0.11538461538461539,4
