No,Precision,Recall,F-Measure,Safety,Mandatory,Optional,XORs,ORs,Requires,Excludes,NLeaf,NTop,FoC,Deep
1,1.0,1.0,1.0,1.0,1,3,0,2,32,8,6,2,0.2727272727272727,4
2,1.0,1.0,1.0,1.0,1,1,0,3,38,0,6,1,0.09090909090909091,4
3,1.0,1.0,1.0,1.0,0,0,0,3,43,0,8,2,0.0,3
4,1.0,1.0,1.0,1.0,1,1,0,2,26,0,7,1,0.09090909090909091,4
5,1.0,1.0,1.0,1.0,1,2,0,2,25,6,6,1,0.18181818181818182,5
6,1.0,1.0,1.0,1.0,1,1,0,2,26,0,7,1,0.09090909090909091,4
7,1.0,1.0,1.0,1.0,0,2,0,2,30,2,7,2,0.18181818181818182,4
8,1.0,1.0,1.0,1.0,1,1,0,2,27,0,7,1,0.09090909090909091,4
9,1.0,1.0,1.0,1.0,0,1,0,3,19,14,7,3,0.09090909090909091,3
10,1.0,1.0,1.0,1.0,2,4,0,3,269,0,18,1,0.15384615384615385,4
11,1.0,1.0,1.0,1.0,2,2,0,3,257,8,20,1,0.07692307692307693,4
12,1.0,1.0,1.0,1.0,5,1,0,4,238,0,20,1,0.038461538461538464,5
13,1.0,1.0,1.0,1.0,1,2,0,5,245,0,18,1,0.07692307692307693,4
14,1.0,1.0,1.0,1.0,1,1,0,4,250,8,20,1,0.038461538461538464,5
15,0.9787234042553191,1.0,0.989247311827957,1.0,0,1,0,4,249,4,21,2,0.038461538461538464,4
16,1.0,1.0,1.0,1.0,0,3,0,4,251,0,19,2,0.11538461538461539,4
17,0.9736842105263158,1.0,0.9866666666666666,1.0,1,2,0,3,249,4,20,1,0.07692307692307693,4
18,1.0,1.0,1.0,1.0,0,3,0,3,254,6,20,2,0.11538461538461539,4
19,1.0,1.0,1.0,1.0,4,3,0,6,1092,0,42,3,0.058823529411764705,4
20,1.0,1.0,1.0,1.0,4,3,0,5,1100,0,42,1,0.058823529411764705,4
21,1.0,1.0,1.0,1.0,3,2,0,4,1117,2,44,3,0.0392156862745098,4
22,1.0,1.0,1.0,1.0,1,2,0,6,1125,0,42,1,0.0392156862745098,4
23,1.0,1.0,1.0,1.0,0,1,0,7,1133,4,43,2,0.0196078431372549,4
24,1.0,1.0,1.0,1.0,0,1,0,7,1128,0,43,2,0.0196078431372549,4
25,1.0,1.0,1.0,1.0,0,1,0,9,1117,0,41,2,0.0196078431372549,4
26,1.0,1.0,1.0,1.0,0,4,0,7,1133,0,40,2,0.0784313725490196,4
27,1.0,1.0,1.0,1.0,1,2,0,5,1126,0,43,1,0.0392156862745098,4
